id,severity,confidence,category,finding,evidence,impact,required_fix,required_tests,status,implementing_sha,assigned_wave,notes
FP-001,P0,CONFIRMED,Brief invariants,Clarification rewrites immutable originalQuestion,apps/backend/src/api/app.ts POST /v1/runs/:id/continue; packages/research-core/src/intent-compiler.ts promises original immutable,Same brief can no longer truthfully represent what user originally asked; breaks provenance/replay/corrections,Keep originalQuestion immutable; pass confirmed clarification constraints as separate model context; create revisioned brief state,Test DB column + payload stay exact original after clarification; task/replay uses confirmed constraints without question rewrite,FIXED,,1-briefs,Ported onto integration; originalQuestion immutable; Indiana search via confirmed terms; residual same brief_revision
FP-002,P0,CONFIRMED,Brief invariants,research_briefs.original_question column can diverge from payload.originalQuestion,/continue updates payload only after mutating brief.originalQuestion,Two authoritative question values in one row; stale task digests and audit ambiguity,Enforce one canonical immutable original; add DB/app consistency check/trigger or remove duplicated mutable representation,Corrupt-one-side test must fail restore/admission,FIXED,,1-briefs,getBrief fail-closes on column/payload mismatch; /continue UPDATE requires original_question match
FP-003,P0,CONFIRMED,Revision semantics,Assumption replacement mutates a brief in place without brief revision,POST /v1/runs/:id/assumptions directly UPDATEs research_briefs payload,Existing report/task/model results remain tied to old semantic assumptions while UI shows new assumptions,Confirm-only may update confirmation metadata; semantic replacement must create a new brief revision/child run or invalidate and re-plan,Replace assumptions after report; old report remains old version; new research creates new revision and cannot reuse stale task,OPEN,,1-briefs,
FP-004,P1,CONFIRMED,Revision semantics,Steering/source-policy changes mutate current brief without revision,/follow-up steer/add_source UPDATE research_briefs payload sourceRestrictions,Worker may hold stale brief; already adopted evidence may violate new source policy; audit trail lies,Persist steering/change-set revision and apply at safe checkpoint; define whether change creates child run or controller revision,Steer during search/read/write; issued requests immutable; future actions respect new policy; old evidence disposition explicit,OPEN,,1-briefs,
FP-005,P1,CONFIRMED,Task identity,"Research task identity is keyed mainly to question/revision, not complete planning semantics",research_tasks question_digest + same brief revision; assumptions/sourceRestrictions can mutate within revision,Task can be reused after semantic state changes,"Persist canonical planning-manifest digest including constraints, assumptions, source policy, expected output, clarification answers",Mutate any planning-relevant field => old task must be stale,OPEN,,1-briefs,
FP-006,P1,CONFIRMED,Awaiting input,Run awaiting_input does not persist exact expected input identity/type,run lifecycle awaiting_input; /continue and query approval independently resume it,Wrong endpoint can resume a run; stale approval/clarification race,Persist pending input object/id/type/revision; require matching input id and transition transactionally,"Wrong clarification ID/type, stale approval, concurrent answer/approval tests",OPEN,,1-briefs,
FP-007,P1,CONFIRMED,Clarification,Generic clarification fields are converted to lowercase hard eq constraints,"/continue body.answers -> field/value -> operator eq, importance hard",Budget/date/preference/range/private_search semantics silently corrupted,Use strict field-specific schemas/operators/normalizers and core MaterialClarificationField definitions,"Budget/currency, timeframe, population, platform, yes/no private search, preferences",FIXED,,1-briefs,constraintFromClarificationAnswer typed parsers; /continue rejects unsupported fields
FP-008,P1,CONFIRMED,Clarification architecture,"Brief model context omits confirmed constraints, driving original-question rewrite hack",ModelContextSchema + briefContext(question),Planner/model cannot see confirmed answer except via mutated question,Extend brief/planning model context with server-owned confirmed constraints/assumptions/source policy,Clarified jurisdiction visible to brief model while original question byte-for-byte unchanged,FIXED,,1-briefs,confirmedConstraints on ModelContext; model-input.v6; search uses userPublicTerms without rewriting question
FP-009,P2,HIGH,State transitions,Confirm assumptions can change metadata on a terminal run with no expected revision,/assumptions has no expectedBriefRevision/idempotency,Race with correction/reopen can mutate wrong version,Require expected revision and idempotency/change identity,Concurrent assumption edit vs correction,OPEN,,1-briefs,
FP-010,P2,HIGH,State transitions,Follow-up/steering mutations lack expected revision,/follow-up routing/steer path,Late mobile action can apply to a newer server state,Bind follow-up to report id/version and brief revision,Stale follow-up after correction/reopen returns 409,OPEN,,1-briefs,
FP-011,P0,CONFIRMED,Provider failover,Fallback success is persisted using primary intentId,"model-gateway.ts swaps result/request/policy after altAttempt, final saveModelOperation still uses attempt.intentId",Successful failover can fail with model_intent_owner_mismatch; logical operation not replayable,Track active intentId with active request/result; persist fallback result under fallback intent; create logical operation linkage,Primary transient -> fallback success; crash before save; replay must reuse fallback exactly once,FIXED,0ab1f7bc772648b7930b456b23306ac3efbbde8c,2-provider,Merged to integration; persist and replay under fallback intentId; attempt chain 045
FP-012,P0,CONFIRMED,Provider failover,Fallback unknown/issued state is not authoritative on replay,Gateway cached-primary fast path returns before fallback state recovery,Restart can surface old primary failure and orphan fallback hold/result,Persist logical operation attempt chain and restore latest authoritative attempt; unknown fallback HOLD,"Primary fails, fallback outcome unknown, process restart, no resend and correct pending/hold",FIXED,0ab1f7bc772648b7930b456b23306ac3efbbde8c,2-provider,Merged to integration; restore latest attempt; unknown fallback HOLD never resent
FP-013,P0,CONFIRMED,Cost accounting,Known failed provider intents with null confirmed_micro are treated as unknown liabilities,settleRun counts confirmed_micro IS NULL regardless state; liveSpendUsedMicro reserves failed-null intents,Known 404/no-endpoint failures can reserve allowance indefinitely,"Represent failure cost state explicitly: known-zero/known-cost/unknown-cost; settlement condition by financial state, not null alone","404 with provider-confirmed zero, 404 cost unknown, transport unknown, 429, malformed response",OPEN,,2-provider,
FP-014,P0,CONFIRMED,Paid repair,Invalid-output repair can issue a second paid call when first attempt cost/outcome is unknown,createResearchDraft and ensureResearchTask retry status invalid_output; providerIntentStateForResult may classify null-cost invalid output as outcome-unknown,Blind financial retry violates unknown HOLD invariant,Repair only if prior financial state is confirmed/known; otherwise terminal/pending hold,Schema invalid with actualMicro null must not send repair; with confirmed cost may repair once,FIXED,8fcf103b67c8cb16d43ff594d8811c859381a709,2-provider,Merged to integration; extract/support/brief/writer and gateway refuse repairPass unless known-cost invalid_output
FP-015,P1,CONFIRMED,Budget reservation,Operation-aware reserve can be clamped below planned request worst-case,reserveMicroForOperation caps against legacy STRUCTURED_CALL_RESERVE_MICRO while write allows 8192 output,Under-reservation; budget may admit a call whose configured max cost exceeds reserved amount,"Reserve >= computed max input/output cost + margin; cap should be an admission ceiling, not a smaller legacy reserve",Max-sized write_report request reserve >= worst-case price,OPEN,,2-provider,
FP-016,P1,HIGH,Context budgeting,Context admission should account input + max output against model context,token-budget/openrouter paths,Large input plus large write output can exceed model context even if input alone passes,Explicit inputTokens + outputTokens + schema/system margin <= context limit,Boundary tests per operation/policy,OPEN,,2-provider,
FP-017,P2,CONFIRMED,Token estimation,Token estimator is bytes/3 heuristic for all models,token-budget.ts,Can under/overestimate unusual Unicode/JSON/schema payloads,Document conservative bound; model-specific estimator/tokenizer if available; enforce safety factor,Unicode/CJK/code/large schema/property tests,OPEN,,2-provider,
FP-018,P1,CONFIRMED,Model governor,Production gateway still uses run-level model policy for all operations,performModelOperation -> runModelPolicy; resolveOperationRoute not production selector,No real per-operation model governor despite architecture claims,Persist per-operation route decision before reserve; route by operation/context/privacy/budget,Same run routes brief/extract/write to distinct approved policies in deterministic test,OPEN,,2-provider,
FP-019,P1,CONFIRMED,Model governor,All production policies use same underlying gpt-4o-mini tier,portfolio.ts,No quality escalation or genuine multi-model capability,Benchmark/register distinct approved tiers or explicitly scope Beta to single-model routing,No superiority/multi-model claim unless real routes execute,OPEN,,2-provider,
FP-020,P2,CONFIRMED,Caching,Recorded cacheSessionId is not passed by production gateway,prepareModelRequest supports sessionId; gateway doesn't pass it,Caching/stickiness claims are metadata-only,Wire when provider contract supports it or remove cache claim,Request body session_id present only when intended; replay digest stable,OPEN,,2-provider,
FP-021,P2,CONFIRMED,Route health,No production circuit-breaker/deprecation health loop,withRetiredRoutes helper not wired to runtime health,Removed/degraded provider can repeatedly fail new runs,Approved route-health registry; temporary admission disable; historical replay unchanged,Simulated retirement/429 burst does not alter historical runs,OPEN,,2-provider,
FP-022,P0,CONFIRMED,Query provenance,Unknown query tokens fall through as user-public,query-intelligence.ts classifyQueryTerms default,Model-invented/private-adjacent term can be sent publicly without provenance,"Unknown term must be blocked/unclassified unless user question, safe app expansion, approved private term, or public-evidence-derived",Model query adds invented term => blocked; public evidence term => allowed with provenance,PARTIAL,4eb8ac1,3-query-privacy,unknown tokens unclassified; invented-term integration still hits span binding first
FP-023,P1,CONFIRMED,Query approval,Approved query does not consume/close pending permission row,approveQueryAuthorization inserts approved row; pending permission_required remains,GET run can keep showing stale pending approval; repeated approvals duplicate,State machine pending->approved/denied with single durable authorization row or superseding pointer,Approve once clears pending; replay idempotent; stale revision denied,IMPLEMENTED,4eb8ac1,3-query-privacy,pending consumed in place
FP-024,P1,CONFIRMED,Query approval,Approved private terms are aggregated across all queries in a revision,loadApprovedPrivateTerms unions terms,Term approved for one query can silently be reused in a different query,"Decide exact semantics; V8.1 promised exact query+term scope, so authorize by digest/action not global term union",Approve term X for query A; query B containing X still needs approval unless explicit reusable permission,IMPLEMENTED,4eb8ac1,3-query-privacy,digest-scoped private terms
FP-025,P1,CONFIRMED,Query approval,Gate A can treat any approved row for revision as generic public-search approval,hasPublicQueryApproval without digest/terms,Coarse approval can weaken future paths,Every public query must authorize exact query/provenance; remove blanket Gate A except explicit user policy,Search 2 cannot borrow Search 1 approval,PARTIAL,4eb8ac1,3-query-privacy,adapter per-query; residual worker Gate A fail-closed
FP-026,P1,CONFIRMED,Query approval schema,query_authorizations lacks state CHECK and uniqueness/idempotency constraints,migration 043,Duplicate/invalid pending/approved rows possible under race,CHECK kind/permission_required relationship; unique/supersession per run/revision/query digest,Concurrent approval and duplicate pending creation,IMPLEMENTED,0ae1a15b2d6dc1e087223f0962097a1f250e8cdb,3-query-privacy,044_query_authorization_proof.sql unique pending/approved proof
FP-027,P1,HIGH,Counterevidence privacy,Attachment-backed counterevidence path appears to block categorically rather than consume exact approval,counterevidence/document-search approval flow,Private-doc research may never get full challenge after user approval,Use exact query authorization path for counterevidence too,"Approved exact private term permits one counterevidence query, no broader leak",OPEN,,3-query-privacy,
FP-028,P2,CONFIRMED,Private term modeling,Private/public provenance is token-level and heuristic,query-intelligence.ts,Multiword/private phrase boundaries can be mishandled,Add phrase/entity provenance and adversarial corpus,"Hyphenated IDs, lowercase code names, names overlapping public vocabulary",OPEN,,3-query-privacy,
FP-029,P0,CONFIRMED,Search breadth,Azure ZDR live search still uses maxResults=3,ports/search.ts discoveryPolicyForNewSearch returns AZURE_DISCOVERY_POLICY v2; Azure policy copied from v1,Real live production path contradicts PASS claim of 8 results/query,Create Azure ZDR v3 policy with maxResults=8 (or task-aware value) and immutable versioning,Azure live policy body asserts correct max_results; frozen old versions unchanged,PARTIAL,5fe30cc,4-retrieval,Azure v3 maxResults=8 merged; no live 8-hit receipt
FP-030,P1,CONFIRMED,Controller durability,Queries/classesAttempted/iteration/Evidence Needs are process-local,structured-research.ts initializes arrays/counters each invocation,Crash/redelivery resets adaptive strategy and bounds; can repeat/deviate,Persist controller/action state or reconstruct fully from durable operations/events,"Crash after query 2/read; restart chooses query 3, not repeats; ceilings survive restart",OPEN,,4-retrieval,
FP-031,P1,CONFIRMED,Action bounds,for iteration<4 bound resets on worker restart,structured-research.ts,Run can exceed conceptual loop bound after crashes,Persistent action counter/stop state,Repeated crash cannot exceed configured bound,OPEN,,4-retrieval,
FP-032,P1,CONFIRMED,Planning budget,Discovery decision uses stale run.spent_micro snapshot,structured-research.ts cached run,Planner can keep proposing work after spend changed; reserve layer saves money but wastes cycles,Refresh financial state before each continuation decision or derive from ledger,Spend changes mid-run reflected in next decision,OPEN,,4-retrieval,
FP-033,P1,CONFIRMED,Source readability,Finished full-text source is reported readable=false,source-reading.ts returns readable: accessLevel === partial-text,Good full-text reads can be treated as unavailable,Readable for partial-text OR full-text,Full-text read integration test,PARTIAL,5fe30cc,4-retrieval,full-text readable predicate merged; extractor still stamps partial-text
FP-034,P1,HIGH,Source resilience,Thrown source-read errors can reject whole Promise.all batch,readAdoptedSources only handles non-read return values,One operational source exception can abort otherwise viable research,Classify per-source degradable errors vs security/stale/cancel errors; use settled batch semantics,One fetch timeout + two valid sources => continue; LostWorkerLease still propagates,OPEN,,4-retrieval,
FP-035,P1,HIGH,Source replay,Issued source read without persisted operation can replay pending forever,source_read_operations issued row + no finished row path,Crash after network read/issue can deadlock run,Persist explicit unknown/failed state and recovery/terminal behavior,Crash between network and result commit; replay does not spin pending forever,OPEN,,4-retrieval,
