claim_id,exact_assertion,file_section,claim_type,source_inspected,access_date,supporting_or_conflicting_evidence,verdict,scope_limitation,corrected_wording,downstream_decisions_affected
CV-01,"Document/data validator exits 0 with 42 source records, 18 observations, 90 acceptance specifications, 12 draft evaluation cases, and its 9 unit/mutation tests pass",EXECUTION_LEDGER.md; verification/VALIDATION_RESULTS.json,claimed test result,"Ran `python scripts/validate_review.py --check-manifest` and `python -m unittest discover -s scripts -p 'test_review_validator.py' -v` myself in the extracted kit",2026-09-16,"My own run reproduced every number exactly: ok=true, source_count=42, observation_count=18, acceptance_specification_count=90, draft_evaluation_case_count=12, 9 tests run / 0 failures",supported-with-scope,Validates review-package data integrity only; explicitly not an application or research-quality test,none needed,Confirms the kit's self-reporting is trustworthy; raises confidence in other unverified claims that follow the same honest-labeling pattern
CV-02,research/USER_COMPLAINTS.csv is byte-identical to the separately supplied Deep_Research_Complaint_Evidence.csv,implicit (cross-artifact integrity),externally checkable fact,"Direct `diff` between the two files",2026-09-16,Diff returned no differences,supported-with-scope,Confirms only that this one file wasn't silently altered between the two supplied artifacts; does not verify the 18 underlying complaint URLs,none needed,Supports trusting that the "reviewed kit" is a faithful derivative of the raw evidence you supplied separately
CV-03,"OpenRouter's Zero Data Retention (ZDR) setting governs provider-side retention only and does not cover plugins/tools such as web search",docs/SECURITY_PRIVACY_COST.md (citing S29-S30),externally checkable fact,"openrouter.ai/docs/guides/features/zdr and openrouter.ai/blog/insights/zero-data-retention",2026-09-16,"OpenRouter's own docs state: 'ZDR applies to provider inference. Your logs, enabled tools, plugins, and other storage features require separate controls'",supported,None found — this is an accurate and current representation,none needed,Correctly blocks the shortcut of claiming 'zero-retention app' from a ZDR model route alone; retained as-is
CV-04,"OpenAI published harness-engineering guidance (Feb 2026) emphasizing a short root map plus mechanical boundary checks, distinct from a blocking human merge-review policy",docs/CODEBASE_GOVERNANCE.md (citing S31),externally checkable fact,openai.com/index/harness-engineering/ and multiple secondary summaries,2026-09-16,"Multiple independent secondary sources (GitHub lists, blog summaries) confirm OpenAI's Feb 2026 harness-engineering post and its 'give agents a map / if agents can't see it it doesn't exist' framing; kit's summary is accurate and its explicit divergence ('this project retains blocking privacy/security/billing gates') is a reasoned adaptation, not a misattribution",supported,"Did not fetch the primary OpenAI post directly (search-only verification); secondary sourcing was consistent enough to be confident",none needed,Supports retaining CODEBASE_GOVERNANCE.md's short-map approach as designed
CV-05,arXiv paper 2601.08536 ('DeepResearch Bench II: Diagnosing Deep Research Agents via Rubrics from Expert Report') exists and evaluates deep-research systems via fine-grained rubrics,research/SOURCES.json S34,externally checkable fact,arxiv.org/abs/2601.08536,2026-09-16,Confirmed: submitted 13 Jan 2026, 132 tasks across 22 domains, 9430 binary rubrics — matches the kit's characterization,supported,none,none needed,Supports EVALUATION.md's citation of task-specific rubric-based grading as the current state of the art rather than an invented reference
CV-06,F04/F06 (cancellation-during-writing gap; immutability-vs-deletion tension) are open specification gaps requiring a fix,docs/CURRENT_STATE_AUDIT.md,claim of completed work / current status,"Direct read of specs/ENGINE_CONTRACTS.md §8-9 and specs/ACCEPTANCE_TESTS.md R19 in this revision",2026-09-16,"specs/ENGINE_CONTRACTS.md §8 already lists writing/awaiting_input as cancellable; R19 already states deletion purges/redacts private content from prior versions with 'no immutable-content exception'",outdated,"Accurate for the pre-revision bytes the audit table explicitly says it describes ('Paths/line numbers below refer to the original bytes, not shifted lines in this revision'); inaccurate if read as describing the current revision's remaining work",Add one status line noting F04/F06 are resolved in the current text (see INDEPENDENT_PREBUILD_REVIEW.md PBR-05),Prevents a future engineer from re-implementing an already-specified fix or reporting it as still blocked
CV-07,"Twelve evaluation seed cases in evals/cases/review_seed_cases.json are drafts, not a validated live dataset, and are not human-validated or executed",EVALUATION.md; HANDOFF.md,claim about own artifact,"Loaded evals/cases/review_seed_cases.json directly and inspected all 12 entries' status/human_validated/executed/result fields",2026-09-16,"Every case has status='draft_not_validated', human_validated=false, executed=false, result=null — matches the claim exactly, and the validator itself rejects any case that doesn't satisfy this",supported,none,none needed,Confirms EVALUATION.md's repeated warning not to treat these as held-out or human-curated is accurate, not just a disclaimer
CV-08,The Grok build prompt's 'Definition of done' (§10) permits honest partial/blocked-by-dependency status for unreachable requirements rather than demanding full completion,Grok_Code_Deep_Research_Goal.md §10,design/instruction-quality claim (my own reading, not a factual claim in the source),"Full read of Grok_Code_Deep_Research_Goal.md, all 10 sections",2026-09-16,"§10 literally lists 'blocked by a named external dependency' as one of four acceptable statuses; however §9's 'do not stop after scaffolding... or the first successful response' and the closing line 'continue through the complete reviewed launch scope rather than returning another proposal' create surrounding pressure that could be read as discouraging use of that status for reachable-but-large items",partially supported,"The permission exists in the text but is not reinforced at the point of highest pressure (the closing autonomy instructions); see PBR-01 in the main review",Add a one-sentence reinforcement next to the autonomy language — see PROPOSED_REPLACEMENTS.md PBR-01,"Directly affects whether the build agent is likely to fabricate 'implemented and verified' claims for App Store/purchase/native-device items it cannot actually reach without supplied credentials"
CV-09,The complaint evidence set (18 retained observations) is not representative of current product quality and should not be read as population prevalence,research/COMPLAINT_TO_REQUIREMENT.md,claim about own evidence quality,"Read research/COMPLAINT_TO_REQUIREMENT.md, research/OBSERVATIONS.json, and the original Deep_Research_Complaint_Evidence.csv in full",2026-09-16,"The csv's own fields (confidence, reproduction_status='not_reproduced' for all 18, remaining_uncertainty, alternative_explanations) are populated honestly for every row I sampled; the accompanying prose explicitly warns against overgeneralizing from 9 dedicated-mode 2026 posts skewed toward Jan-Mar",supported,Small, self-selected, forum-sourced sample; the kit already states this limitation clearly and does not oversell it,none needed,Supports treating D1-D5 in COMPLAINT_TO_REQUIREMENT.md as hypotheses to test (per P1/EVALUATION.md) rather than established defects to fix directly
CV-10,The patch file (Deep_Research_Review_Changes.patch) applies cleanly against a temporary copy of the exact original 22-file kit,verification/PATCH_CHECK.json,claimed test result,"Inspected the patch file structure directly (56 '--- a/' / '+++ b/' file headers, well-formed unified-diff hunks) and read the sample AGENTS.md hunk",2026-09-16,"Patch is a well-formed unified diff; I did not independently re-run `git apply --check` myself (would require reconstructing the unreviewed original kit, which was not separately supplied), so I am relying on structural inspection plus the kit's own recorded exit code 0",inaccessible (partially verified),I verified the patch's structural validity but did not re-execute the exact claimed command against the original bytes,none needed,Low downstream impact — the patch targets the original spec package only and is explicitly not intended to apply to any future application repository
