path,sha256,bytes
00_EXECUTIVE_VERDICT.md,ae763c37e0c4726e5afea287abccb08b89ecca41aa40ca2ffbdcbcc4f8ee804a,2841
01_P0_P1_FINDINGS.md,9b5c4d9103cc86843de21253a506a8a66cc801f0310bb1680b4f94d9252fbdda,37355
02_ROOT_CAUSE_MAP.md,3d801dc48f1b0ebe9c9343eb03074bb2f36f4ea3bb9fb0dec6bca3cea4dfe032,3172
03_FIX_ORDER.md,14650c24e5c89468976c8dc43474fe987ff259cfd5f51f77a05856de435113c4,2667
04_INVARIANTS_DO_NOT_WEAKEN.md,f6bfdedc51f837f6140e2ccd1ed304038a7fd0ce2aa9a0ce9d1b57ad4703bbac,1437
05_ACCEPTANCE_MATRIX_CORRECTIONS.md,1c4f1161b420fb3e27eec137d2603be410c5637d7e571b33a3da709490df2e93,2720
06_REQUIRED_TESTS.md,f6eeca651caa49f61dbc6ec5b82d9139f9197a84dfcfc8b83c0318b4f2272a5e,2382
07_GOOD_AREAS_PRESERVE.md,3ef52b90d4b946fd0bc6535baba17e23e0a249cff5cd5b8d804c70e35404c7b7,1000
08_UI_PHASE_DEFERRED.md,8671f5769270cc9cf96b0013b16dfec786e9860443754966363cebea03d0b03b,869
09_GROK_FIX_PASS_GOAL.md,d6f602afcd9c0ab11385761b0527d08735684948b4d22d104887b9e2c53e4560,6767
FINDINGS.csv,906f2a3852e4bd7797427cc2f479bfd001da52783096169189e9c33a86b88501,43467
START_HERE.md,2bdb48907693dd90bae49f4b805261c137a4096bca3c598691f4f56f6f43a8ab,1330
manifest.json,14b4091e42d8c2e3e834961a2f1150e6e8394911fbcfe35cb0efaba8d0d59248,633
